R;G;B;A;Count
255;255;255;0;7399591
8;0;0;255;1088412
45;57;79;0;55606
45;57;79;255;20404
58;74;104;255;54107
34;43;59;255;10667
8;0;0;0;368875
34;43;59;0;264
195;215;247;255;471
255;255;255;255;898836
220;231;248;255;584
172;190;219;255;330
227;198;197;0;227
119;79;0;0;2812
119;79;0;255;24743
80;53;0;0;140964
153;102;0;255;16339
80;53;0;255;12096
247;215;107;255;520
58;74;104;0;19099
51;65;91;255;2031
67;86;121;255;623
56;68;93;255;529
36;46;64;255;366
39;50;69;255;390
27;34;47;0;2
27;34;47;255;1267
30;39;54;255;65
80;118;197;0;23392
61;74;114;128;1809
61;74;114;255;16610
61;74;114;192;336
52;66;92;255;8497
255;0;0;0;7931
233;235;237;0;294
196;199;205;0;106
56;73;103;255;3206
151;158;169;0;78
38;48;67;255;2568
105;114;130;0;82
44;45;52;255;3
45;47;54;255;12
52;66;92;0;18
47;48;57;255;23
39;50;69;0;3
50;52;62;255;2
56;73;103;0;792
51;65;91;0;791
11;15;20;255;834
19;25;34;255;596
255;0;0;255;17170
121;0;0;255;3247
168;0;0;255;265
85;41;35;255;384
80;0;0;255;575
132;64;55;255;413
180;87;75;255;1738
34;0;0;255;281
58;0;0;255;186
52;0;0;255;113
56;27;23;255;96
121;0;0;0;392
83;82;68;255;36
122;120;100;255;101
163;161;134;255;162
221;218;181;255;267
180;87;75;0;197
132;64;55;0;24
85;41;35;0;96
138;146;126;255;21460
175;180;166;255;23688
99;105;90;255;4592
97;73;56;255;5404
53;42;34;255;24325
255;0;0;51;320
255;0;0;102;256
255;0;0;179;192
175;180;166;0;320
8;0;0;76;50
15;7;7;255;30
13;6;5;255;10
26;21;18;255;5
12;4;4;255;5
99;105;90;0;18
145;137;132;255;13016
94;88;85;255;8348
186;180;178;255;11640
145;137;132;0;120
186;180;178;0;256
94;88;85;0;880
45;55;64;255;2835
23;37;46;255;12406
181;164;125;255;2835
146;104;90;255;12406
185;57;44;255;4775
121;14;14;255;21156
210;83;69;255;40
255;160;192;255;4
203;177;125;255;275
53;35;0;0;9919
53;35;0;255;266
207;156;155;255;4522
227;198;197;255;4801
122;47;51;0;60
185;115;113;255;2315
159;140;140;255;4
46;31;30;0;30
2;0;0;255;51905
143;77;0;255;34602
93;93;93;255;106510
143;143;143;255;67377
51;51;51;255;75336
209;143;0;255;71109
255;190;50;255;5579
23;23;23;255;94
153;153;153;255;468798
107;76;49;255;14
8;0;0;127;4
51;51;51;0;1023
91;62;0;255;228
143;143;143;0;534
93;93;93;0;257
84;45;0;0;9502
255;255;50;255;153249
84;45;0;255;30995
227;161;0;255;231
255;227;0;255;917
143;77;0;0;197069
153;153;153;0;1824
97;66;0;255;2460
148;101;0;255;4017
255;255;255;1;1812
255;255;255;2;1171
255;255;255;3;801
255;255;255;6;532
255;255;255;8;357
255;255;255;10;323
255;255;255;9;357
255;255;255;7;416
255;255;255;5;582
255;255;255;4;576
255;255;255;13;260
255;255;255;15;239
255;255;255;21;176
255;255;255;22;198
255;255;255;27;163
255;255;255;29;154
255;255;255;20;199
255;255;255;12;301
255;255;255;26;148
255;255;255;34;169
255;255;255;42;92
255;255;255;49;116
255;255;255;54;114
255;255;255;63;85
255;255;255;67;95
255;255;255;64;83
255;255;255;60;72
255;255;255;39;157
255;255;255;18;234
255;255;255;16;237
255;255;255;30;163
255;255;255;40;123
255;255;255;73;81
255;255;255;90;54
255;255;255;99;77
255;255;255;110;92
255;255;255;113;59
255;255;255;119;64
255;255;255;117;67
255;255;255;109;74
255;255;255;98;81
255;255;255;82;79
255;255;255;58;105
255;255;255;41;146
255;255;255;14;250
255;255;255;45;118
255;255;255;68;96
255;255;255;131;70
255;255;255;149;47
255;255;255;161;76
255;255;255;176;45
255;255;255;179;57
255;255;255;183;46
255;255;255;181;69
255;255;255;174;64
255;255;255;139;68
255;255;255;81;80
255;255;255;52;102
255;255;255;32;126
255;255;255;24;174
255;255;255;43;133
255;255;255;62;98
255;255;255;91;63
255;255;255;118;75
255;255;255;150;49
255;255;255;175;56
255;255;255;194;60
255;255;255;208;50
255;255;255;218;52
255;255;255;225;58
255;255;255;228;49
255;255;255;234;59
255;255;255;230;70
255;255;255;227;65
255;255;255;215;73
