R;G;B;A;Count
255;255;255;0;1042916
39;33;32;255;66
39;33;32;0;31
66;53;53;255;145
82;67;67;255;51
94;77;77;255;131
74;61;61;255;45
54;47;45;128;40
8;0;0;255;128184
50;47;47;255;2568
141;128;128;255;1157
71;66;66;255;1305
146;146;146;255;1776
173;173;173;255;638
32;32;32;255;2714
63;59;59;255;451
85;78;78;255;578
124;115;115;255;169
78;61;103;255;853
56;44;74;255;495
102;102;102;255;499
47;43;43;255;310
12;12;12;255;520
174;165;165;255;259
191;164;144;255;223
25;25;25;255;176
59;54;54;255;150
72;67;67;255;122
215;191;191;255;904
106;72;20;255;1009
205;144;2;255;1424
24;24;24;255;910
53;53;53;255;428
107;54;54;255;1022
84;42;42;255;567
126;85;22;255;2519
31;31;31;255;1155
244;171;2;255;574
58;35;30;255;259
67;67;67;255;6495
32;9;9;255;136
255;255;255;255;10914
72;45;38;255;259
79;79;79;255;206
39;12;12;255;60
248;202;96;255;514
169;118;1;255;1411
44;44;44;255;413
67;43;35;255;128
83;53;43;255;1170
42;20;20;255;34
51;16;16;255;356
96;57;49;255;1310
63;18;18;255;382
106;65;55;255;1042
82;21;21;255;270
110;77;51;0;25
201;195;203;255;429
153;105;67;255;1417
8;0;0;0;3800
85;60;40;255;2759
110;77;51;255;2024
63;45;28;255;1660
163;154;161;255;168
189;131;84;255;405
26;26;26;255;276
56;56;56;255;572
93;93;93;255;913
164;164;164;255;227
216;216;216;255;150
153;134;117;0;5040
70;70;70;255;1893
193;193;193;255;441
109;109;109;255;298
38;29;31;255;124
219;219;219;255;1509
135;138;181;255;9
178;200;219;255;6
142;136;139;255;56
48;37;40;255;56
100;117;131;255;60
111;108;149;255;3
92;104;112;255;52
46;32;19;255;64
6;6;6;255;80
251;251;251;255;16
208;208;208;255;166
77;77;77;255;607
74;52;34;255;124
48;31;36;255;3
56;36;41;255;21
73;73;73;255;6
132;132;132;255;66
107;126;146;255;80
116;145;166;255;144
124;155;180;255;102
82;52;61;255;8
214;184;213;255;7
69;45;52;255;10
175;141;158;255;7
198;217;180;255;3
138;179;137;255;9
144;114;125;255;7
85;60;40;0;2
87;147;67;255;108
159;207;143;255;131
227;255;219;255;45
171;199;243;255;182
107;151;235;255;79
219;231;251;0;12
151;183;239;255;39
194;216;238;255;13
219;231;251;255;380
107;130;170;255;10
255;255;254;255;329
167;167;167;255;1446
99;99;99;255;2493
