R;G;B;A;Count;FileCount
255;255;255;0;3938432;224
8;0;0;255;383593;186
61;7;9;255;3;1
207;156;155;255;33582;32
6;0;0;255;3009;10
4;0;0;255;1070;5
139;69;70;255;4;1
176;111;112;255;39;2
229;157;158;255;227;2
157;137;136;255;67;2
227;198;197;255;50165;32
75;56;56;255;21;2
57;50;49;255;52;2
119;61;63;255;13;2
138;78;79;255;13;2
147;86;87;255;35;2
44;38;38;255;13;2
62;54;54;255;39;2
82;71;71;255;70;2
33;29;29;255;13;2
119;104;104;255;25;2
48;42;42;255;12;2
143;108;107;255;74;2
108;94;93;255;13;2
91;79;79;255;12;2
173;151;150;255;173;2
132;115;114;255;70;2
92;69;69;255;5;2
101;88;87;255;32;2
5;0;0;255;1765;3
232;206;160;255;27;1
120;91;90;255;7;2
157;119;118;255;85;2
255;255;255;255;35522;132
216;172;126;255;21;1
185;115;113;255;20834;29
154;46;0;255;18;1
193;7;9;255;11;2
179;0;0;255;5847;28
131;0;0;255;7727;27
60;7;9;255;1;1
3;0;0;255;2137;2
193;46;0;255;14;1
6;0;0;134;32;1
214;125;127;255;20;2
127;127;127;255;730;3
167;167;167;255;4984;15
136;0;0;255;2;2
197;94;95;255;14;2
107;67;66;255;2;2
140;143;165;255;3410;3
175;178;198;255;3192;3
107;110;128;255;1187;3
74;76;91;255;393;1
175;178;198;0;630;2
130;135;166;255;169;1
97;102;136;255;113;1
130;135;166;0;320;1
25;26;30;255;58;1
44;45;53;255;30;1
61;63;74;255;44;1
77;82;112;255;43;1
223;204;221;255;129;7
8;0;0;0;12832;35
255;0;0;255;192;3
112;112;112;0;294;1
70;70;70;255;8088;6
112;112;112;255;26;2
54;65;78;0;393;2
54;65;78;255;1493;3
73;87;105;255;784;3
73;87;105;0;8596;2
37;45;54;255;548;3
131;101;59;255;72;3
37;45;54;0;95;1
141;141;141;0;38003;1
2;2;2;255;4838;2
30;30;30;255;5234;5
42;42;42;255;3411;5
3;0;8;255;383;1
19;19;19;255;643;1
51;23;87;255;183;1
33;15;56;255;255;1
119;119;119;255;3940;17
79;79;79;255;9;1
53;53;53;255;3;1
141;141;141;255;16;1
41;41;41;255;9;3
66;66;66;255;22;1
71;32;121;255;8;1
255;255;255;64;636;4
255;255;255;112;2;1
70;64;64;255;24;1
116;127;143;255;6;1
70;84;106;255;190;1
91;114;145;255;128;1
164;171;180;255;8;1
54;64;76;255;86;1
40;48;57;255;30;1
193;169;169;255;481;1
219;205;205;255;859;1
86;19;19;255;300;1
165;133;132;255;123;1
114;26;26;255;449;1
107;0;0;255;876;18
255;212;239;255;14;1
255;156;177;255;94;1
228;110;126;255;160;1
255;218;247;255;3;1
255;242;255;255;4;1
255;148;167;255;482;1
169;81;92;255;667;1
237;116;132;255;488;1
255;239;255;255;7;1
255;172;196;255;101;1
255;126;145;255;5;1
255;253;255;255;1;1
255;231;255;255;673;1
255;135;153;255;3;1
255;199;226;255;4;1
255;186;210;255;4;1
255;167;188;255;3;1
255;196;223;255;3;1
207;100;113;255;153;1
255;169;191;255;1;1
255;177;202;255;557;1
204;100;113;255;1;1
255;137;156;255;2;1
255;191;215;255;2;1
239;116;132;255;2;1
255;169;194;255;1;1
110;49;57;255;305;1
255;204;231;255;3;1
